simulation,trial,n,T_mse,S_mse,X_mse
simD,8,100000,0.0049804008290861256,0.00011609088911438832,0.000918724316542256
simD,8,300000,0.003940785276556744,0.0001305003000941617,0.0008934158515406673
simD,9,5000,0.01099445450070491,9.564238391544947e-05,0.0011781905407219292
simD,9,10000,0.006675794095261015,8.571231408493864e-05,0.0011340340780202842
simD,9,20000,0.005242844602018989,0.000102496269732031,0.0010568520991102715
simD,9,100000,0.004522815216156788,0.0001136838219824188,0.0009335200939729289
simD,9,300000,0.003859400728181529,0.00011566220307135498,0.0009279796236194988
simE,0,5000,0.06093086952875466,0.060570861260739094,0.03216882238161441
simE,0,10000,0.022197480857118604,0.021079364547155165,0.011918122475778368
simE,0,20000,0.020371025930163298,0.021361170873180735,0.006121472243334103
simE,0,100000,0.009939590110072536,0.008438918386857484,0.005216762423480474
simE,0,300000,0.004592361112293547,0.004617009119105322,0.0014696035106760465
simE,1,5000,0.0357447850163645,0.05258209824024971,0.02128472846670987
simE,1,10000,0.02479104329925629,0.024344836014013573,0.014219591485558328
simE,1,20000,0.015819351952472006,0.015870857126497984,0.008062635453401667
simE,1,100000,0.00670960872015657,0.006398794039149298,0.0019660975880903464
simE,1,300000,0.004352502375555723,0.00419554446842865,0.0010869719809419975
simE,2,5000,0.043197284447422345,0.04101630330614297,0.022050144755073293
simE,2,10000,0.03757080603560013,0.03258077608715486,0.022845176446487134
simE,2,20000,0.01593785335477485,0.014993910576722965,0.00671067062317758
simE,2,100000,0.00949008618760065,0.007615945794154159,0.0049056077811664165
simE,2,300000,0.004386741177870882,0.004290121811442496,0.001021396880132125
simE,3,5000,0.0544795365193637,0.05420508052632344,0.030115616679324563
simE,3,10000,0.02786108778736011,0.027501631622024864,0.014061506525045467
simE,3,20000,0.019472414174804175,0.01698864617202941,0.008537666195252133
simE,3,100000,0.005357265660583715,0.005471533696998831,0.0014711928995406113
simE,3,300000,0.004257701133621417,0.0043084366525993996,0.001021016162989964
simE,4,5000,0.03634308811858942,0.03139280431519225,0.020592659056611538
simE,4,10000,0.021189306854932737,0.01935815064865597,0.008427083422907159
simE,4,20000,0.015639449959345537,0.015931491646049758,0.0073364837637020465
simE,4,100000,0.008149410547720283,0.00792961633393302,0.003762415597025574
simE,4,300000,0.004286450651504559,0.0041711875219904585,0.001015116110204453
simE,5,5000,0.03963414466638976,0.028915891232164242,0.03227158534883868
simE,5,10000,0.020105728703176815,0.01823365153040528,0.010961841270397427
simE,5,20000,0.013894963553778757,0.014703059037851615,0.005323247047204855
simE,5,100000,0.006480259758259337,0.006618603475850454,0.0018733534013937788
simE,5,300000,0.004189746711160893,0.004288017720391444,0.00099444879811361
simE,6,5000,0.04354046352111087,0.044221641406077934,0.029967945639258798
simE,6,10000,0.026591413981148723,0.02915468026750337,0.016533669588467238
simE,6,20000,0.013154178820787742,0.013372820430279726,0.005380213014410316
simE,6,100000,0.005056409633962144,0.005147111400896537,0.0016658821545719948
simE,6,300000,0.004029910693318955,0.0041131073538806275,0.0011674842131262188
simE,7,5000,0.042027839680688,0.033692203677641246,0.022109441401212345
simE,7,10000,0.021184416069020415,0.019651785669443176,0.010233030626851002
simE,7,20000,0.014952984493516121,0.01346168626768304,0.005679756065834709
simE,7,100000,0.006453106859718271,0.006325417380230298,0.0022521623890455664
simE,7,300000,0.0046707774312507,0.004556345471997973,0.0013060128883083638
simE,8,5000,0.05202068988360024,0.04697753284683658,0.02507545073495254
simE,8,10000,0.029479052158263616,0.028511060989494675,0.013342975743877878
simE,8,20000,0.014625155078860294,0.01366823159402573,0.004069249769858566
simE,8,100000,0.006394935299368459,0.006863403118149139,0.0015335134054251026
simE,8,300000,0.0041970162061182046,0.004361230039092288,0.0009864110656501396
simE,9,5000,0.0548631431318093,0.048165729409507904,0.03625162485483712
simE,9,10000,0.020851127008552343,0.019346570091053453,0.011075036327091914
simE,9,20000,0.01000351554564578,0.009496270799047614,0.004932370941325702
simE,9,100000,0.005097558126531448,0.005175255200810238,0.0013897964712525246
simE,9,300000,0.004126155185064628,0.004117018060159185,0.0010275954935634972
simF,0,5000,6.071068018816795,6.076411891330743,5.73442132510697
simF,0,10000,6.027378932149963,6.009967047025935,5.8045388913237765
simF,0,20000,5.912125636391561,5.9188178112243515,5.757521983657903
simF,0,100000,5.904022266429303,5.90269079228096,5.823405207571861
simF,0,300000,5.8460896879796955,5.836975347698725,5.804743514505851
simF,1,5000,6.131984037021599,6.101566190937169,5.802972629653582
simF,1,10000,5.939563319094708,5.978631680815211,5.7028393762183915
simF,1,20000,5.912236654577435,5.912260796203428,5.727996808633423
simF,1,100000,5.866532072225262,5.856993593015114,5.790582002893741
simF,1,300000,5.835923570680609,5.838011825994667,5.793622756164417
simF,2,5000,5.999961090220384,5.986421431354038,5.754933215285208
simF,2,10000,5.915088958975049,5.91201865449803,5.69077366877503
simF,2,20000,5.864968559343148,5.858693678857026,5.696966824988009
simF,2,100000,5.814388710191832,5.818275516084707,5.734428302811425
simF,2,300000,5.803034720161424,5.803392260348129,5.763760957324717
simF,3,5000,6.08908749047629,6.12449034063055,5.8541345251289965
simF,3,10000,5.881094155594286,5.8455087534156185,5.65365583931504
simF,3,20000,5.824855895611523,5.827188220740718,5.668385369419583
simF,3,100000,5.791128741106465,5.802106497722666,5.7133482419546215
simF,3,300000,5.800971576651842,5.808894647849906,5.7616936919651875
simF,4,5000,6.100573439527024,6.08318978112631,5.818341213159226
simF,4,10000,5.97788687711887,5.963312472469956,5.7113135024296495
simF,4,20000,5.968760720189229,5.962948652932055,5.79026633824488
simF,4,100000,5.88624163842487,5.880952027629648,5.80468183647894
simF,4,300000,5.806001654757024,5.811807944945449,5.7637614034419045
simF,5,5000,6.096840765590964,6.035984758774681,5.751448396162537
simF,5,10000,5.980947078862666,5.994951258663321,5.768752151557435
simF,5,20000,5.978482550032081,5.9773996809658465,5.784647924988749
simF,5,100000,5.877534790348351,5.868850841119857,5.793202600601236
simF,5,300000,5.828315692335107,5.830738019205709,5.785144120129617
simF,6,5000,6.1993807353288455,6.210051350941078,5.902607912001169
simF,6,10000,6.066489156743376,6.042099705332415,5.813349522049166
simF,6,20000,5.949201794726286,5.934647361715522,5.773908772823395
simF,6,100000,5.815299829904407,5.808244306893195,5.7368454518793115
simF,6,300000,5.790762565563117,5.785877905720198,5.744459099509141
simF,7,5000,6.083329897272865,6.059169499992724,5.833624920451145
simF,7,10000,5.988854242646373,6.018994710094004,5.803745863469135
simF,7,20000,5.959340453615392,5.942301311056184,5.792838939598724
simF,7,100000,5.827156432962601,5.82921335028285,5.752515480266272
simF,7,300000,5.788628736541412,5.790202441087543,5.745714644650122
simF,8,5000,6.070948584588556,6.100041458314719,5.792915818578873
simF,8,10000,6.044144731114862,6.063625832221172,5.806469984350315
simF,8,20000,6.065236558015295,6.041780298412106,5.884374166981782
simF,8,100000,5.93250619081705,5.911296304620573,5.848566672107043
simF,8,300000,5.859379274015982,5.849697860617586,5.818216978536476
simF,9,5000,6.081224418529725,6.0584148546238685,5.828580124951626
simF,9,10000,6.025168081814246,6.003768183441019,5.751856704463097
simF,9,20000,5.987715990865836,5.965287042521185,5.803734862433577
simF,9,100000,5.8018123038455585,5.80625345668099,5.724925849024316
simF,9,300000,5.771890733035063,5.773593226146034,5.7290236626188875
